id,Service name,address,Postal code,Phone number,Service description,keywords,source,postal code filtering,community mental health in Ontario,community mental health in Ontario.1,Clean_Service_Name,City,City_Extraction_Status
3009,Community Psychiatry Clinic,"100 West 5th Street Level 0, Block D Hamilton ON",L8N 3K7,905-522-1155 Ext 36040,"The Community Psychiatry Clinic is a mental health outpatient program committed to providing evidence-based care to those with serious mental illness over the age of 17. It offers consultations, assessments, and various evidence-based treatment modalities, including individual and group therapy.","mental health, outpatient program, evidence-based care, serious mental illness, consultations, assessments, individual therapy, group therapy, Borderline Personality Disorder, Cognitive Behavioural Therapy, mindfulness.",https://www.stjoes.ca/health-services/mental-health-addiction-services/mental-health-services/community-psychiatry-clinic,1,1,1,community psychiatry clinic,Hamilton,Good
3010,Tiny Therapy Collective,,,1-705-712-2658,"Provides psychotherapy services including individual therapy, couples therapy, family therapy, and group therapy, with a focus on neurodivergence and BIPOC clients.","Psychotherapy, Individual Therapy, Couples Therapy, Family Therapy, Group Therapy, Neurodivergence, BIPOC Clients, Mental Health",https://tinytherapycollective.com/jeff-wong,-1,1,1,tiny therapy collective,,Empty City
3011,Ontario Therapy,,,(647) 855-0530,"Specializing in anxiety therapy and relationship counseling, Ontario Therapy provides services tailored to couples dealing with communication breakdown, trust issues, and intimacy challenges.","anxiety therapy, relationship counselling, communication breakdown, trust and betrayal recovery, intimacy issues",https://www.ontariotherapy.org/anxiety-therapy-holland-landing-on/,-1,1,1,ontario therapy,,Empty City
3023,Community Health Centres of Northumberland,"99 Toronto Road, Suite 101",L1A 3S4,905-885-2626,"A community-centred primary healthcare facility serving Northumberland County, Ontario, offering a range of community-based services including mental health resources, counselling, and various health programs.","community healthcare, mental health resources, counselling, health programs",https://chcnorthumberland.ca/,1,1,1,community health centres of northumberland,Toronto,Good
3025,Reflexion-Services De Mieux-Être / Wellness Services,"Hornepayne Community Hospital, 278 Front St",P0M 1Z0,807-868-2203,Counselling Program offering mental health and wellness services.,"counselling, mental health, wellness services",https://www.northeasthealthline.ca/listServices.aspx?id=10237&region=Algoma,1,1,1,reflexion services de mieux être wellness services,278 Fr,Good
3077,Canadian Mental Health Association Muskoka - Parry Sound,"1 - 67 Main St Huntsville, ON",,(705) 384-1424,Crisis Intervention Services.,Crisis Intervention Services,https://www.northernontariolocal.ca/l/huntsville-on/mental-health-agencies,-1,1,1,canadian mental health association muskoka parry sound,Huntsville,Good
3079,Zielonko David Counselling Service,"395 Centre St N Huntsville, ON",,(705) 788-2539,"Muskoka Counselling offers a wide range of counselling services including psychotherapy, couples counselling, family counselling, marriage counselling, grief counselling, and relationship therapy.","Counselling, Psychotherapy, Couples Counselling, Family Counselling, Marriage Counselling, Grief Counselling, Relationship Therapy",https://www.northernontariolocal.ca/l/huntsville-on/mental-health-agencies,-1,1,1,zielonko david counselling service,Huntsville,Good
3080,Canadian Mental Health Association Muskoka Parry-Sound,"8 Crescent Rd, Huntsville, Ontario",,,"Provides free walk-in counselling sessions for individuals over 16, focusing on issues such as relationships, work, addiction, mental health, and work-life balance.","free counselling, walk-in sessions, mental health, individual counselling",https://www.muskokaregion.com/news/canadian-mental-health-association-providing-free-mental-health-support-in-huntsville-and-bracebridge/article_39981704-bec8-5c8a-9efd-78c676c0b707.html,-1,1,1,canadian mental health association muskoka parry sound,Huntsville,Good
3081,Canadian Mental Health Association Muskoka Parry-Sound,"173 Manitoba St, Bracebridge, Ontario",,,"Offers free walk-in counselling sessions for those over 16, addressing various mental health issues.","free counselling, walk-in sessions, mental health, individual counselling",https://www.muskokaregion.com/news/canadian-mental-health-association-providing-free-mental-health-support-in-huntsville-and-bracebridge/article_39981704-bec8-5c8a-9efd-78c676c0b707.html,-1,1,1,canadian mental health association muskoka parry sound,Bracebridge,Good
3085,Huron Community Mental Health Services,"274 Huron Rd Goderich, ON",N7A 3A2,519-524-8316,"Community mental health services clinic offering therapy groups, psychological rehabilitation, skill-based educational groups, one-on-one counselling, advocacy, and mental health consultation.","community mental health services, therapy groups, psychological rehabilitation, counselling, advocacy, mental health consultation",https://www.southwesthealthline.ca/displayservice.aspx?id=11062,1,1,1,huron community mental health services,274 Hur,Good
3086,Huron Health System - Alexandra Marine and General Hospital - Mental Health,"274 Huron Rd Goderich, ON",N7A 3A2,1-877-695-2524,Mental health services integrated within the hospital providing comprehensive community mental health services.,"mental health services, community health services, hospital-based care",https://www.southwesthealthline.ca/displayservice.aspx?id=11062,1,1,1,huron health system alexandra marine and general hospital mental health,274 Hur,Good
3087,Huron Community Mental Health Services,274 Huron Rd,N7A 3A2,519-524-8316 Ext 5750,"Huron Community Mental Health Services offers skill based educational groups, therapy groups, psychosocial rehabilitation groups, time limited individual counselling based on severity of illness, and advocacy for individuals 16 years and older with serious mental health issues.","mental health services, educational groups, therapy groups, psychosocial rehabilitation, individual counselling, advocacy, serious mental health issues",https://211north.ca/record/81595749/,1,1,1,huron community mental health services,Huron Rd,Good
3088,Huron Community Mental Health Services,274 Huron Rd,N7A 3A2,519-524-8316,"Huron Community Mental Health Services offer skill based educational groups, therapy groups, psychosocial rehabilitation groups, time limited individual counselling based on severity of illness and advocacy.","mental health services, educational groups, therapy groups, psychosocial rehabilitation, counselling, advocacy",https://centraleastontario.cioc.ca/record/HUR0683,1,1,1,huron community mental health services,Huron Rd,Good
3089,"Huron Community Mental Health Services, Clinton",Mary St. between Orange St. and Isaac St.,,,Huron Community Mental Health Services in Clinton provides various mental health services.,mental health services,https://centraleastontario.cioc.ca/record/HUR0683,-1,1,1,huron community mental health services clinton,Mary St. Between Orange St. And Isaac St.,Good
3090,"Huron Community Mental Health Services, Exeter",Main St. S (Highway 4) between Gidley St. and Sanders St.,,,Huron Community Mental Health Services in Exeter offers mental health services.,mental health services,https://centraleastontario.cioc.ca/record/HUR0683,-1,1,1,huron community mental health services exeter,Main St. S,Good
3091,"Huron Community Mental Health Services, Seaforth",Main St. (Road 12) between Market St. and Huron St.,,,Huron Community Mental Health Services in Seaforth provides mental health services.,mental health services,https://centraleastontario.cioc.ca/record/HUR0683,-1,1,1,huron community mental health services seaforth,Main St.,Good
3092,"Huron Community Mental Health Services, Wingham",Josephine St (London Rd - Highway 4) between Victoria St. and Scott St.,,,Huron Community Mental Health Services in Wingham offers a range of mental health services.,mental health services,https://centraleastontario.cioc.ca/record/HUR0683,-1,1,1,huron community mental health services wingham,London,Good
3093,CMHA Huron Perth Addiction and Mental Health Services,,,,Provides a range of mental health and addiction services to individuals and families in the Huron Perth region.,"mental health, addiction services",https://hpaoht.ca/about/partners/,-1,1,1,cmha huron perth addiction and mental health services,,Empty City
3132,Canadian Mental Health Association (CMHA) Cochrane Timiskaming Branch,Timmins,,,Offers mental health services and support across the Cochrane and Timiskaming regions.,"mental health, support, wellness, community services",https://www.northeasthealthline.ca/alphaListing.aspx?filter=C&region=Cochrane,-1,1,1,canadian mental health association cochrane timiskaming branch,Timmins,Good
3134,Salvation Army Windsor Community & Rehabilitation Services,355 Church St.,N9A 7G9,519-253-7473,Provides community and rehabilitation services as part of the Salvation Army's mission.,"community, rehabilitation, counseling, Christian ministry",https://christiansourcebook.com/listing/salvation-army-windsor-community-rehabilitation-services/,1,1,1,salvation army windsor community & rehabilitation services,Church St.,Good
3140,The Garry Hurvitz Centre for Community Mental Health,440 Jarvis St.,,,"Supports children, youth, and their families by providing mental health treatment and support informed by research and evidence, including prevention and early intervention programs, therapy, and community outreach.","mental health support, treatment, children, youth, families, therapy, intervention programs",https://sickkidscmh.ca/,-1,1,1,the garry hurvitz centre for community mental health,Jarvis St.,Good
3141,The Garry Hurvitz Centre for Community Mental Health,1645 Sheppard Ave. W.,,,"Supports children, youth, and their families by providing mental health treatment and support informed by research and evidence, including prevention and early intervention programs, therapy, and community outreach.","mental health support, treatment, children, youth, families, therapy, intervention programs",https://sickkidscmh.ca/,-1,1,1,the garry hurvitz centre for community mental health,Sheppard Ave. W.,Good
3142,SickKids Centre For Community Mental Health,"440 Jarvis St, Toronto, ON",M4Y 2H3,416-924-1164,Provides mental health services and counseling for children and families.,"Mental Health Services, Counseling Centres, Children, Families",https://www.yellowpages.ca/bus/Ontario/Toronto/SickKids-Centre-For-Community-Mental-Health/3427070.html,1,1,1,sickkids centre for community mental health,Toronto,Good
3170,Kawartha Lakes Community Clinic,37 Lindsay Street South,K9V 2L9,705.878.1013,"The Kawartha Lakes Community Clinic, provided by Ontario Shores Centre for Mental Health Sciences, offers specialized clinics and programs for outpatients in a community setting, including individual, couple and group counselling, medication treatment, and various therapies.","outpatient, assessment, treatment, counselling, medication, therapies",https://www.ontarioshores.ca/kawartha-lakes-community-clinic,1,1,1,kawartha lakes community clinic,Lindsay Street South,Good
3171,Kawartha Lakes Haliburton Ontario Health Team,"10 Angeline St N, Lindsay, ON",K9V 4M8,,"Coordinating and connecting care to create a seamless experience for patients and families in the Kawartha Lakes and Haliburton regions, providing local supports for mental health and addictions, including counselling and group therapy.","mental health, addictions, counselling, group therapy, healthcare.",https://www.klhoht.ca/mental-health-and-addictions,1,1,1,kawartha lakes haliburton ontario health team,Lindsay,Good
3172,Canadian Mental Health Association Haliburton Kawartha Pine Ridge (CMHA HKPR),,,705-328-2704,"Provides 24/7 support for individuals experiencing thoughts of suicide or emotional distress in the Peterborough, Kawartha Lakes, and Northumberland areas.","mental health, crisis intervention, suicide support, emotional distress",https://www.kawarthalakes.ca/community-emergency-services/support-services/,-1,1,1,canadian mental health association haliburton kawartha pine ridge,,Empty City
3179,"CMHA Haliburton, Kawartha, Pine Ridge",,,2009-08-08,CMHA HKPR is a partner in the 9-8-8 Suicide Crisis Helpline providing support for individuals thinking about suicide or those who are worried about someone they know.,"suicide crisis helpline, mental health support, crisis intervention",https://cmhahkpr.ca/kawartha-lakes-programs-and-services/,-1,1,1,cmha haliburton kawartha pine ridge,,Empty City
3182,Brief Mental Health Services,,,,Provides brief mental health support to individuals experiencing crisis due to mental health concerns or serious mental illness for those aged 16 or over in the Kawartha Lakes area.,"mental health support, crisis intervention, brief interventions",https://cmhahkpr.ca/kawartha-lakes-programs-and-services/,-1,1,1,brief mental health services,,Empty City
3193,The Road Ahead Mobile Wellness Clinic,,,,Provides mental health and addictions care to individuals in remote and rural locations across Kawartha Lakes and surrounding counties.,"mobile clinic, mental health care, rural support",https://cmhahkpr.ca/kawartha-lakes-programs-and-services/,-1,1,1,the road ahead mobile wellness clinic,,Empty City
3195,Ross Memorial Hospital,"10 Angeline Street N, Lindsay, ON",K9V 4M8,705-324-6111,"The Mental Health Outpatient Program & Community Counselling offers psychiatric consultation, group therapy, crisis support, adult counselling, and a rapid access addiction medicine clinic for individuals seeking assistance with mental health and addiction concerns.","Mental Health, Outpatient Program, Community Counselling, Psychiatric Consultation, Crisis Support, Addiction Services",https://rmh.org/programs-and-services/community-counselling,1,1,1,ross memorial hospital,Lindsay,Good
3196,HOPE (Helping Others through Peer Education),,,705-878-3379,Provides peer education and support services to individuals facing mental health challenges.,"Peer Education, Support Services",https://rmh.org/programs-and-services/community-counselling,-1,1,1,hope,,Empty City
3197,Canadian Mental Health Association,,,705-328-2704,Offers community-based mental health support and advocacy for individuals and families.,"Mental Health, Community Support, Advocacy",https://rmh.org/programs-and-services/community-counselling,-1,1,1,canadian mental health association,,Empty City
3198,FourCAST,,,705-878-5547,"Provides mental health and addiction services, including support and treatment for individuals in crisis.","Mental Health, Addiction Services, Crisis Support",https://rmh.org/programs-and-services/community-counselling,-1,1,1,fourcast,,Empty City
3200,Chimo Youth and Family Services,"107 Lindsay St S, Lindsay, ON",K9V 2M5,705-324-3300,"Provides community mental health programs, support for ongoing mental health issues, information and referral, case management, housing supports, rehabilitation, employment assistance, counseling, support groups, recreational opportunities, and peer support services for consumers and survivors.","community mental health, support, ongoing mental health issues, information and referral, case management, housing supports, rehabilitation, employment assistance, counseling, support groups, social and recreational opportunities, peer support services",https://www.centraleasthealthline.ca/listServicesDetailed.aspx?id=10237&region=HaliburtonCountyandCityofKawarthaLakes,1,1,1,chimo youth and family services,Lindsay,Good
3201,Campbellford Memorial Hospital - Community Mental Health Centre,"146 Oliver Rd, 2nd floor, Campbellford, ON",K0L 1L0,705-632-2015,"Provides community mental health services to residents, including support for ongoing mental health issues.","community mental health, support, ongoing mental health issues",https://www.centraleasthealthline.ca/listServicesDetailed.aspx?id=10237&region=HaliburtonCountyandCityofKawarthaLakes,1,1,1,campbellford memorial hospital community mental health centre,Campbellford,Good
3202,"Canadian Mental Health Association - Haliburton, Kawartha, Pine Ridge Branch","466 George St N, Peterborough, ON",K9H 3R7,"705-748-6711 (Peterborough), 705-328-2704 (Lindsay), 705-748-6687 (Administrative)",Offers mental health services and support for individuals in Kawartha Lakes and surrounding areas.,"mental health services, support, community care",https://www.centraleasthealthline.ca/listServicesDetailed.aspx?id=10237&region=HaliburtonCountyandCityofKawarthaLakes,1,1,1,canadian mental health association haliburton kawartha pine ridge branch,Peterborough,Good
3203,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge, Lindsay - Kawartha Lakes Office","33 Lindsay St S, 2nd floor, Unit C",K9V 2L9,"705-328-2704; 1-888-454-8875 (Toll Free), Crisis Phone: 705-745-6484 (24/7)","Promotes and supports mental health recovery and wellness by working with individuals, families and community partners in the Haliburton, Kawartha, and Pine Ridge (HKPR) areas.","mental health, recovery, wellness, community partners",https://centraleastontario.cioc.ca/record/VTC0292,1,1,1,canadian mental health association haliburton kawartha pine ridge lindsay kawartha lakes office,Unit C,Good
3204,"Canadian Mental Health Association (CMHA), Ontario Division","180 Dundas Street West, Suite 2301",M5G 1Z8,1-800-875-6213,A not-for-profit organization focused on improving the lives of Ontarians through community-based mental health and addictions services.,"mental health, addictions services, community-based",https://ontario.cmha.ca/news/kawartha-lakes-fire-rescue-to-bolster-mental-health-support-with-resilient-minds/,1,1,1,canadian mental health association ontario division,Suite 2301,Good
3205,"CMHA Haliburton, Kawartha, Pine Ridge (HKPR)",,,,"Offers housing, case management, vocational and justice programs, along with 24/7 crisis assistance.","housing, case management, crisis assistance, mental health training, suicide intervention",https://ontario.cmha.ca/news/kawartha-lakes-fire-rescue-to-bolster-mental-health-support-with-resilient-minds/,-1,1,1,cmha haliburton kawartha pine ridge,,Empty City
3207,Alzheimer Society Of Canada,Serving Eastern Ontario and the surrounding area,,(800) 879-4226,Specialized in providing mental health services related to Alzheimer’s and dementia care.,"Alzheimer’s, dementia, mental health services",https://www.easternontariolocal.ca/l/kingston-on/mental-health-agencies,-1,1,1,alzheimer society of canada,Serving Eastern Ontario And The Surrounding Area,Good
3208,Children's Mental Health Of Leeds And Grenville,"3 Clothier St E Kemptville, ON",K0G 1J0,(613) 258-1959,Provides mental health services specifically for children and youth.,"children’s mental health, youth services, mental health support",https://www.easternontariolocal.ca/l/kingston-on/mental-health-agencies,1,1,1,children s mental health of leeds and grenville,Clothier St E Kemptville,Good
3209,Lanark Leeds And Grenville Addictions And Mental Health,"2671 Concession Rd Kemptville, ON",K0G 1J0,(613) 258-7204,Focuses on recovery and well-being for individuals living with mental health illnesses and addictions.,"recovery, mental health, addictions, support services",https://www.easternontariolocal.ca/l/kingston-on/mental-health-agencies,1,1,1,lanark leeds and grenville addictions and mental health,2671 C,Good
3210,Mental Health Crisis Line Leeds & Grenville,Serving Eastern Ontario and the surrounding area,,(866) 281-2911,Offers crisis intervention services for individuals facing mental health emergencies.,"crisis intervention, mental health support, emergency services",https://www.easternontariolocal.ca/l/kingston-on/mental-health-agencies,-1,1,1,mental health crisis line leeds & grenville,Serving Eastern Ontario And The Surrounding Area,Good
3213,Children's Mental Health Of Leeds And Grenville,"3 Clothier St E Kemptville, ON",K0G 1J0,(613) 258-1959,Specializes in providing mental health services for children and youth.,"Mental Health Agencies, children, youth, services",https://www.easternontariolocal.ca/l/trenton-on/mental-health-agencies,1,1,1,children s mental health of leeds and grenville,Clothier St E Kemptville,Good
3214,Lanark Leeds And Grenville Addictions And Mental Health,"2671 Concession Rd Kemptville, ON",K0G 1J0,(613) 258-7204,Focuses on recovery and well-being for people living with mental health illnesses.,"Addiction Treatment Centres, Mental Health Agencies, recovery, well-being",https://www.easternontariolocal.ca/l/trenton-on/mental-health-agencies,1,1,1,lanark leeds and grenville addictions and mental health,2671 C,Good
3215,Mental Health Crisis Line Leeds & Grenville,Serving Eastern Ontario and the surrounding area,,(866) 281-2911,Provides crisis intervention services related to mental health.,"Crisis Intervention Services, Mental Health Agencies",https://www.easternontariolocal.ca/l/trenton-on/mental-health-agencies,-1,1,1,mental health crisis line leeds & grenville,Serving Eastern Ontario And The Surrounding Area,Good
3217,"Lanark, Leeds and Grenville Addictions and Mental Health",,,,Services aimed at addressing addictions and mental health issues in the community.,"addictions, mental health, community services",https://www.mykemptvillenow.com/48624/featured/lanark-leeds-and-grenville-addictions-and-mental-health-name-new-ceo/,-1,1,1,lanark leeds and grenville addictions and mental health,,Empty City
3220,Melissa Chapman,"Ottawa, ON",K0A,(343) 341-5501,Registered Psychotherapist with a focus on trauma and experience treating individuals coping with psychosis.,"trauma training, coping with psychosis, anxiety, intrusive thoughts, panic, low mood",https://www.psychologytoday.com/ca/therapists/on/ottawa?category=psychosis,-1,1,1,melissa chapman,Ottawa,Good
3221,Leeds and Grenville Addictions and Mental Health,,,,"Offers services and programmes to people experiencing addiction or mental health issues, with mental health services for individuals aged 16 and older and addictions services for any age.","addiction, mental health, services, programmes",https://kemptvillehwc.ca/patient-resources,-1,1,1,leeds and grenville addictions and mental health,,Empty City
3222,Children’s Mental Health of Leeds and Grenville,,,,"Dedicated to serving the mental health needs of children, youth, and their families; no professional referral is required.","children, youth, mental health, programs, self-refer",https://kemptvillehwc.ca/patient-resources,-1,1,1,children s mental health of leeds and grenville,,Empty City
3223,BounceBack Ontario,,,,"A free skill-building program managed by the Canadian Mental Health Association designed to help adults and youth 15+ manage low mood, mild to moderate depression and anxiety, stress or worry.","skill-building, mental wellness, depression, anxiety, free",https://kemptvillehwc.ca/patient-resources,-1,1,1,bounceback ontario,,Empty City
3227,The Walk-in Counselling Clinic Ottawa,,,613-725-3601,Offers walk-in counselling on Tuesdays and Saturdays with no appointment necessary.,"walk-in counselling, mental health, free, confidential",https://kemptvillehwc.ca/patient-resources,-1,1,1,the walk in counselling clinic ottawa,,Empty City
3229,The Ottawa Distress Center,,,613-238-3311,24/7 phone line offering support for various mental health issues.,"distress, support, 24/7",https://kemptvillehwc.ca/patient-resources,-1,1,1,the ottawa distress center,,Empty City
3235,Hamilton Family Health Team,123 James Street North,L8R 2K8,905 667-4848,"The Hamilton Family Health Team provides primary health care through a team of interdisciplinary healthcare professionals, offering support including mental health counseling, nutrition, and chronic pain management workshops.","primary care, mental health, workshops, chronic pain, nutrition",https://hamiltonfht.ca/,1,1,1,hamilton family health team,James Street North,Good
3244,Canadian Mental Health Association - Kenora,"227 Second St S, Kenora, ON",P9N 1G1,807-468-1838,"Provides a variety of mental health services including case management, housing supports, rehabilitation, and counselling.","mental health, case management, counselling, rehabilitation, housing supports",https://northwesthealthline.ca/listServicesDetailed.aspx?id=10237&region=DistrictofKenora,1,1,1,canadian mental health association kenora,Kenora,Good
3245,Canadian Mental Health Association - Kenora - Assertive Community Treatment Team,"227 Second St S, Kenora, ON",P9N 1G1,807-468-1838,Offers assertive community treatment services to support individuals with mental health challenges.,"assertive community treatment, mental health",https://northwesthealthline.ca/listServicesDetailed.aspx?id=10237&region=DistrictofKenora,1,1,1,canadian mental health association kenora assertive community treatment team,Kenora,Good
3246,Canadian Mental Health Association - Kenora - Mental Health Counselling and Treatment,"227 Second St S, Kenora, ON",P9N 1G1,807-468-1838,Provides mental health counselling and treatment services to individuals.,"mental health, counselling, treatment",https://northwesthealthline.ca/listServicesDetailed.aspx?id=10237&region=DistrictofKenora,1,1,1,canadian mental health association kenora mental health counselling and treatment,Kenora,Good
3247,Kenora Youth Wellness Hub,"120 Main St S, Kenora, ON",P9N 1S2,807-407-2751,A youth-focused center that offers programs and services addressing mental health and wellness.,"youth, mental health, wellness",https://northwesthealthline.ca/listServicesDetailed.aspx?id=10237&region=DistrictofKenora,1,1,1,kenora youth wellness hub,Kenora,Good
3248,Lake of The Woods District Hospital - Morningstar Centre - Mental Health and Addictions Program,"6 Matheson St S, Kenora, ON",P9N 1T5,807-468-5749,Offers mental health and addictions services for individuals in the community.,"mental health, addictions, community services",https://northwesthealthline.ca/listServicesDetailed.aspx?id=10237&region=DistrictofKenora,1,1,1,lake of the woods district hospital morningstar centre mental health and addictions program,Kenora,Good
3249,Métis Nation of Ontario - Kenora Métis Council - Youth Mental Health and Addictions,"621 Lakeview Dr Unit 4, Kenora, ON",P9N 3P6,807-468-5835,Provides mental health and addictions support specifically for youth.,"youth, mental health, addictions, support",https://northwesthealthline.ca/listServicesDetailed.aspx?id=10237&region=DistrictofKenora,1,1,1,métis nation of ontario kenora métis council youth mental health and addictions,Kenora,Good
3250,"Lake of The Woods District Hospital - St Joseph Health Centre, 2nd Fl - Mental Health and Addictions Program","21 Wolsley St, Kenora, ON",P9N 3W7,807-467-3555,Comprehensive mental health and addictions program serving the community.,"mental health, addictions, program, community",https://northwesthealthline.ca/listServicesDetailed.aspx?id=10237&region=DistrictofKenora,1,1,1,lake of the woods district hospital st joseph health centre 2nd fl mental health and addictions program,Kenora,Good
3251,Canadian Mental Health Association | Kenora Branch,227 Second Street South,P9N-1G1,1 (807) 468-1838,"CMHA is a nationwide organization that promotes mental health and supports people recovering from mental illness, offering services such as assertive community treatment, counseling and treatment, and mobile mental health & addictions clinics.","mental health, addictions, counseling, community treatment, mobile clinics",https://www.cmhak.on.ca/,-1,1,1,canadian mental health association kenora branch,Second Street South,Good
3253,Community Mental Health Support Services – KACL,,,807-467-5225,"Community Mental Health Support Services (CMHSS) strives to support adults, and their families, who are living with mental illness through highly individualized support and person-centred planning.","Community Mental Health, adult support, mental illness, person-centred planning, individualized support",https://www.kacl.ca/community-mental-health-support-services/,-1,1,1,community mental health support services kacl,,Empty City
3254,Intensive Case Management Services,,,807-467-5255,"Offers support for adults living with serious mental illness, helping them develop a support plan to achieve personal goals and providing a range of flexible support services.","Intensive Case Management, adults, serious mental illness, support plan, flexible support",https://www.kacl.ca/community-mental-health-support-services/,-1,1,1,intensive case management services,,Empty City
3259,Youth Wellness Hub,,,807-467-8468,Offers mental health and wellness services for youth through a collaborative approach.,"youth, mental health, wellness services",https://www.nwhu.on.ca/our-services/mental-health-supports/,-1,1,1,youth wellness hub,,Empty City
3261,Canadian Mental Health Association (CMHA): Kenora,,,807-468-1838,Offers various mental health programs and services for individuals in Kenora.,"mental health services, programs, Kenora",https://www.nwhu.on.ca/our-services/mental-health-supports/,-1,1,1,canadian mental health association kenora,,Empty City
3262,Kenora/Rainy River District Crisis Response Services,,,1-866-888-8988,Provides crisis response services for individuals in mental health crises.,"crisis response, mental health, support services",https://www.nwhu.on.ca/our-services/mental-health-supports/,-1,1,1,kenora rainy river district crisis response services,,Empty City
3263,Kenora Chiefs Advisory,,,807-467-8144,Offers various health-related support services including mental health assistance in the Kenora area.,"Indigenous services, mental health support, health advisory",https://www.nwhu.on.ca/our-services/mental-health-supports/,-1,1,1,kenora chiefs advisory,,Empty City
3265,Lake of the Woods District Hospital St. Joseph Health Centre,"21 Wolsley St, Kenora, ON",P9N 3W7,807-467-3555,"Mental Health Services & Counseling Centres, Marriage, Individual & Family Counsellors","Mental Health Services, Counseling, Marriage, Individual Counselling, Family Counselling",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,1,1,1,lake of the woods district hospital st joseph health centre,Kenora,Good
3266,Migisi Alcohol & Drug Treatment Centre,"110 Migisi Rd, Kenora, ON",P9N 3W9,807-548-5959,"Mental Health Services & Counseling Centres, Addiction Treatments & Information","Mental Health Services, Addiction Treatments, Information",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,1,1,1,migisi alcohol & drug treatment centre,Kenora,Good
3267,Child Development Centre,"820 Lakeview Dr, Kenora, ON",P9N 3P7,807-467-5437,Mental Health Services & Counseling Centres,"Mental Health Services, Counseling",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,1,1,1,child development centre,Kenora,Good
3268,Kenora Association For Community Living,"501 Eighth Ave S, Kenora, ON",P9N 3Z9,"807-467-5225, 807-467-5247","Kenora Association For Community Living, Mental Health Services And Counseling Centre","Mental Health Services, Counseling",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,1,1,1,kenora association for community living,Kenora,Good
3269,Crisis Response Services Kenora Rainy River District - Administration Office,,,"807-223-8884, 1-866-888-8988","24 Hour Help Line, Crisis Response, Mental Health, Suicide Prevention, Addiction, Crisis Intervention","Crisis Response, Mental Health, Suicide Prevention, Addiction, 24 Hour Help Line",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,-1,1,1,crisis response services kenora rainy river district administration office,,Empty City
3270,Canadian Mental Health-Fort Francis,"21 Wolsley St Rr 1, Kenora, ON",P9N 3W7,807-468-7617,Mental Health Services & Counseling Centres,"Mental Health Services, Counseling",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,1,1,1,canadian mental health fort francis,Kenora,Good
3271,Canadian Mental Health Association Kenora Location Office,"21 Wolsley St, Kenora, ON",P9N 3W7,"807-468-4699, 1-888-813-6503","Mental Health Services & Counseling Centres, Social & Human Service Organizations","Mental Health Services, Counseling, Social Services",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,1,1,1,canadian mental health association kenora location office,Kenora,Good
3272,Canadian Mental Health Association - Fort Frances Branch,"40-610 Lakeview Dr, Kenora, ON",P9N 3P7,"807-468-4699, 1-866-872-0408","District Peer Support Program, Mental Health Services & Counseling Centres","Peer Support, Mental Health Services, Counseling",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,1,1,1,canadian mental health association fort frances branch,Kenora,Good
3273,Canadian Mental Health Association-Kenora Branch,,,807-468-4215,"Assertive Community Treatment Team, Mental Health Services & Counseling Centres","Assertive Community Treatment, Mental Health Services, Counseling",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,-1,1,1,canadian mental health association kenora branch,,Empty City
3274,Morningstar Centre,,,807-468-5749,"Drugs Alcohol & Gambling, Mental Health Services & Counseling Centres","Addiction, Mental Health Services, Counseling",https://www.yellowpages.ca/search/si/1/Mental+Health+Services+&+Counselling+Centres/Kenora+ON,-1,1,1,morningstar centre,,Empty City
3275,Kenora Youth Wellness Hub,120 Main Street,P9N 1S2,(807) 467-8468,A welcoming and youth-friendly space for integrated youth services for young people aged 12 to 25 and their families looking for mental health and addictions support across Kenora.,"integrated youth services, mental health, addictions support, family support, crisis support, cultural support, education, basic needs supports",https://centresbien-etrejeunesse.ca/site/kenora-youth-wellness-hub,1,1,1,kenora youth wellness hub,Main Street,Good
3276,Kenora Youth Wellness Hub,120 Main Street,P9N 1S2,(807) 467-8468,"A welcoming space for integrated youth services for young people aged 12 to 25 and their families looking for mental health and addictions support. The Hub provides services such as mental health counseling, addiction counseling, primary care, and various basic needs supports.","youth services, mental health, addictions support, counseling, primary care, cultural support, family support, basic needs support",https://youthhubs.ca/site/kenora-youth-wellness-hub,1,1,1,kenora youth wellness hub,Main Street,Good
3281,Vaughan Community Health Centre- Keswick Site,"Keswick, ON",,,,"community health, mental health services",https://www.facebook.com/VaughanCommunityHealthCentreKeswickSite/,-1,1,1,vaughan community health centre keswick site,Keswick,Good
