id,Service name,Clean_Service_Name,City,best_match_gt,similarity_score,is_match
2851,Central Grey Bruce Community Mental Health Team,central grey bruce community mental health team,,Eden Community Homes,70,False
2852,Canadian Mental Health Association - Grey Bruce,canadian mental health association grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
2853,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",canadian mental health association grey bruce mental health and addiction services,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
2857,Mobile Mental Health and Addiction Response Team,mobile mental health and addiction response team,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",77,True
2863,Canadian Mental Health Association Grey Bruce,canadian mental health association grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
2864,Harc Inc (Head Office),harc inc,,Overeaters Anonymous - St Catharines,67,False
2870,Huron Perth Helpline & Crisis Response Team,huron perth helpline & crisis response team,,Huron Perth Healthcare Alliance,75,True
2881,Centre for Addiction and Mental Health (CAMH),centre for addiction and mental health,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",83,True
2899,Certified Professional Counselling Centre,certified professional counselling centre,,Wellkin,71,False
2904,Cheryl Rempel MSW,cheryl rempel msw,-,Canadian Mental Health Association Hastings Prince Edward,41,False
2906,Nous Talk,nous talk,-,Canadian Mental Health Association Hastings Prince Edward,56,False
2931,"Hearst, Kapuskasing and Smooth Rock Falls Counselling Services",hearst kapuskasing and smooth rock falls counselling services,-,Wellkin,71,False
2934,SOS Centre Branch of TCN,sos centre branch of tcn,,Canadian Mental Health Association. Simcoe County Branch,60,False
2935,Minto Counselling Centre,minto counselling centre,,Wellkin,71,False
2939,Hands TheFamilyHelpNetwork.ca,hands thefamilyhelpnetwork ca,-,Canadian Mental Health Association Hastings Prince Edward,49,False
2944,Timmins Consumer Survivor Network (TCSN),timmins consumer survivor network,-,Canadian Mental Health Association Hastings Prince Edward,43,False
2945,Canadian Mental Health Association,canadian mental health association,-,Canadian Mental Health Association Hastings Prince Edward,100,True
2946,TCN Centre,tcn centre,-,Canadian Mental Health Association Hastings Prince Edward,50,False
2951,Centre Minto Centre de Counseling Minto,centre minto centre de counseling minto,,Wellkin,57,False
2973,Équipe Santé Ontario Cochrane District Ontario Health Team,équipe santé ontario cochrane district ontario health team,,Brightshores Health System,68,False
2975,Équipe Santé Ontario Cochrane District Ontario Health Team,équipe santé ontario cochrane district ontario health team,,Brightshores Health System,68,False
3000,Ontario Structured Psychotherapy Program,ontario structured psychotherapy program,,Southwest Ontario Aboriginal Health Access Centre,52,False
3009,Community Psychiatry Clinic,community psychiatry clinic,West,St. Joseph's Healthcare Hamilton,37,False
3010,Tiny Therapy Collective,tiny therapy collective,,St Thomas Supportive Independent Housing,51,False
3011,Ontario Therapy,ontario therapy,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
3077,Canadian Mental Health Association Muskoka - Parry Sound,canadian mental health association muskoka parry sound,-,Canadian Mental Health Association Hastings Prince Edward,80,True
3080,Canadian Mental Health Association Muskoka Parry-Sound,canadian mental health association muskoka parry sound,Crescent Rd,"Canadian Mental Health Association, Muskoka-Parry Sound",100,True
3081,Canadian Mental Health Association Muskoka Parry-Sound,canadian mental health association muskoka parry sound,Manitoba St,"Canadian Mental Health Association, Muskoka-Parry Sound",100,True
3093,CMHA Huron Perth Addiction and Mental Health Services,cmha huron perth addiction and mental health services,,CMHA Thames Valley Addiction and Mental Health Services,87,True
3142,SickKids Centre For Community Mental Health,sickkids centre for community mental health,Jarvis St,Canadian Centre for Victims of Torture,54,False
3172,Canadian Mental Health Association Haliburton Kawartha Pine Ridge (CMHA HKPR),canadian mental health association haliburton kawartha pine ridge,,Canadian Mental Health Association. Simcoe County Branch,79,True
3179,"CMHA Haliburton, Kawartha, Pine Ridge",cmha haliburton kawartha pine ridge,,Indwell,55,False
3182,Brief Mental Health Services,brief mental health services,,CMHA Thames Valley Addiction and Mental Health Services,90,True
3193,The Road Ahead Mobile Wellness Clinic,the road ahead mobile wellness clinic,,Wellkin,71,False
3196,HOPE (Helping Others through Peer Education),hope,,Brightshores Health System,75,True
3197,Canadian Mental Health Association,canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
3198,FourCAST,fourcast,,General Topics and Information - Halton Hills,62,False
3200,Chimo Youth and Family Services,chimo youth and family services,Lindsay St S,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",43,False
3203,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge, Lindsay - Kawartha Lakes Office",canadian mental health association haliburton kawartha pine ridge lindsay kawartha lakes office,Lindsay St S,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",100,True
3205,"CMHA Haliburton, Kawartha, Pine Ridge (HKPR)",cmha haliburton kawartha pine ridge,,Indwell,55,False
3217,"Lanark, Leeds and Grenville Addictions and Mental Health",lanark leeds and grenville addictions and mental health,,CMHA Thames Valley Addiction and Mental Health Services,73,True
3221,Leeds and Grenville Addictions and Mental Health,leeds and grenville addictions and mental health,,CMHA Thames Valley Addiction and Mental Health Services,74,True
3222,Children’s Mental Health of Leeds and Grenville,children s mental health of leeds and grenville,,Parents For Children's Mental Health,80,True
3223,BounceBack Ontario,bounceback ontario,,Southwest Ontario Aboriginal Health Access Centre,63,False
3227,The Walk-in Counselling Clinic Ottawa,the walk in counselling clinic ottawa,,Wellkin,71,False
3229,The Ottawa Distress Center,the ottawa distress center,,Southwest Ontario Aboriginal Health Access Centre,62,False
3253,Community Mental Health Support Services – KACL,community mental health support services kacl,,Eden Community Homes,75,True
3254,Intensive Case Management Services,intensive case management services,,CMHA Thames Valley Addiction and Mental Health Services,60,False
3259,Youth Wellness Hub,youth wellness hub,,Wellkin,71,False
3261,Canadian Mental Health Association (CMHA): Kenora,canadian mental health association kenora,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",92,True
3262,Kenora/Rainy River District Crisis Response Services,kenora rainy river district crisis response services,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",55,False
3263,Kenora Chiefs Advisory,kenora chiefs advisory,,General Topics and Information - Halton Hills,55,False
3269,Crisis Response Services Kenora Rainy River District - Administration Office,crisis response services kenora rainy river district administration office,,General Topics and Information - Halton Hills,53,False
3272,Canadian Mental Health Association - Fort Frances Branch,canadian mental health association fort frances branch,-,Canadian Mental Health Association Hastings Prince Edward,82,True
3273,Canadian Mental Health Association-Kenora Branch,canadian mental health association kenora branch,,Canadian Mental Health Association. Simcoe County Branch,92,True
3274,Morningstar Centre,morningstar centre,,National Eating Disorder Information Centre,67,False
3301,Mental Health Services of Renfrew County,mental health services of renfrew county,-,Canadian Mental Health Association Hastings Prince Edward,56,False
3302,Renfrew Crisis Clinic - Robbie Dean Family Couns eling Centre,renfrew crisis clinic robbie dean family couns eling centre,,Wellkin,57,False
3307,Canadian Mental Health Association Grey Bruce,canadian mental health association grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
3310,Wellness and Emotional Support for Youth Online (WES for Youth),wellness and emotional support for youth online,,Wellkin,83,True
3311,Grey-Bruce Crisis Resources Mental Health Crisis Support,grey bruce crisis resources mental health crisis support,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",66,False
3315,"Canadian Mental Health Association, Grey Bruce",canadian mental health association grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
3323,KW Counselling,kw counselling,,Wellkin,77,True
3324,Front Door,front door,,Parents For Children's Mental Health,60,False
3326,Good2Talk,good2talk,,Huron Health System - Alexandra Marine and General Hospital,50,False
3331,EMDR Counselling & Neurofeedback,emdr counselling & neurofeedback,,Wellkin,71,False
3346,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
3354,Kingston Community Health Centres,kingston community health centres,,Eden Community Homes,70,False
3381,Kitchener/Waterloo Counselling Clinic,kitchener waterloo counselling clinic,,Wellkin,71,False
3382,Bayridge Counselling Centres,bayridge counselling centres,,Wellkin,71,False
3411,Gregory A. Lowry - Counselling,gregory a lowry counselling,,Wellkin,77,True
3418,Barron & Associates Psychologists,barron & associates psychologists,-,Canadian Mental Health Association Hastings Prince Edward,48,False
3470,Lanark County Mental Health,lanark county mental health,,Canadian Mental Health Association. Simcoe County Branch,85,True
3471,"Community Mental Health Programs - Lanark, Leeds & Grenville",community mental health programs lanark leeds & grenville,,Eden Community Homes,75,True
3477,"Lanark, Leeds and Grenville Addictions and Mental Health - Delta Office",lanark leeds and grenville addictions and mental health delta office,King St,Peterborough Family Health Team,52,False
3487,Lanark County Mental Health Crisis Services,lanark county mental health crisis services,,CMHA Thames Valley Addiction and Mental Health Services,73,True
3489,"Lanark, Leeds & Grenville Addictions & Mental Health",lanark leeds & grenville addictions & mental health,,CMHA Thames Valley Addiction and Mental Health Services,70,False
3495,Canadian Mental Health Association,canadian mental health association,-,Canadian Mental Health Association Hastings Prince Edward,100,True
3507,mesa (Renfrew County's Collaborative Approach),mesa,,Eden Community Homes,86,True
3509,Renfrew County Virtual Triage and Assessment Centre,renfrew county virtual triage and assessment centre,,Eden Community Homes,57,False
3511,Action Psychotherapy,action psychotherapy,-,Canadian Mental Health Association Hastings Prince Edward,45,False
3513,Dr. Maureen O'Connell,dr maureen o connell,-,Wellkin,60,False
3528,Mintleaf Psychology,mintleaf psychology,-,Canadian Mental Health Association Hastings Prince Edward,47,False
3539,Mental Health Services of Renfrew County,mental health services of renfrew county,-,Canadian Mental Health Association Hastings Prince Edward,56,False
3542,"Carrie Pollard, MSW, RSW",carrie pollard msw rsw,,Indwell,57,False
3566,WOTCH Community Mental Health Services,wotch community mental health services,,CMHA Thames Valley Addiction and Mental Health Services,78,True
3595,Ontario Shores Centre for Mental Health Sciences,ontario shores centre for mental health sciences,Lindsay St S,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",57,False
3596,Kawartha Lakes Community Clinic,kawartha lakes community clinic,Lindsay St S,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",48,False
3618,Children's Mental Health Services - Trenton office - (CMHS),children s mental health services trenton office,King St,Peterborough Family Health Team,45,False
3624,Peer Support South East Ontario - Trenton Peer Support Centre - New Beginnings,peer support south east ontario trenton peer support centre new beginnings,Dundas St W,Habitat Services,44,False
3675,"Addiction & Mental Health Services - Kingston, Frontenac, Lennox & Addington (AMHS-KFLA)",addiction & mental health services kingston frontenac lennox & addington,,CMHA Thames Valley Addiction and Mental Health Services,74,True
3681,Brightshores Health System - Owen Sound Hospital - Mental Health and Addictions Services,brightshores health system owen sound hospital mental health and addictions services,,Brightshores Health System,100,True
3719,"Rebecca Wabischewich, Hons. BA, MPH, MACP, RP",rebecca wabischewich hons ba mph macp rp,,Life With A Baby,50,False
3720,"Tanya Beach, RP (Qualifying)",tanya beach rp,,Canadian Mental Health Association. Simcoe County Branch,61,False
3725,"Ben Hartford, RP",ben hartford rp,,Parents For Children's Mental Health,53,False
3726,"James Barber, RP, RMFT",james barber rp rmft,,Gamblers Anonymous,46,False
3744,Jessica Weeks Psychotherapy,jessica weeks psychotherapy,-,Wellkin,43,False
3754,Addictions & Mental Health Services - Hastings Prince Edward,addictions & mental health services hastings prince edward,-,Canadian Mental Health Association Hastings Prince Edward,80,True
3781,Feel Your Way Therapy,feel your way therapy,,Eden Community Homes,49,False
3782,KaZa Family Centre,kaza family centre,,Family Mental Health Support Network of Niagara,69,False
3791,Adrienne E Benson,adrienne e benson,,Friendship Bench (The),53,False
3795,COAST: Crisis Outreach and Support Team,coast crisis outreach and support team,,YWCA Toronto - Housing and Supports,58,False
3796,ROCK: Reach Out Centre for Kids,rock reach out centre for kids,,Family Mental Health Support Network of Niagara,50,False
3798,Distress Centre Halton,distress centre halton,,Parents For Children's Mental Health,62,False
3803,PLEO (Parents' Lifelines of Eastern Ontario),pleo,,PLEO - Parents' Lifeline,100,True
3811,"Canadian Mental Health Association, Grey Bruce",canadian mental health association grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
3812,Housing Services - CMHA Grey Bruce,housing services cmha grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",75,True
3847,Canadian Mental Health Association York Region,canadian mental health association york region,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",88,True
3852,Centre for Addiction and Mental Health (CAMH),centre for addiction and mental health,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",83,True
3853,"Meagan Daley, Ph.D.",meagan daley ph d,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",53,False
3857,"Maaria Blackwell, MSW, RSW, BA",maaria blackwell msw rsw ba,,Indwell,57,False
3861,"Sarah Belland, B.A., M.A., RP",sarah belland b a m a rp,,Wellkin,57,False
3919,Thunder Bay Counselling Centre,thunder bay counselling centre,,Wellkin,71,False
3991,Canadian Mental Health Association - Simcoe County - Midland Satellite Office - Youth Services,canadian mental health association simcoe county midland satellite office youth services,Yonge St,Mood Disorders Association of Ontario,57,False
4005,COAST (Crisis Outreach and Support Team),coast,,Consumer/Survivor Initiative of Niagara,67,False
4023,Haliburton Highlands Health Services - Community Support Services,haliburton highlands health services community support services,,Eden Community Homes,70,False
4032,one-Link,one link,,Huron Perth Healthcare Alliance,62,False
4042,Shepherd Psychotherapy - Jeff Shepherd,shepherd psychotherapy jeff shepherd,,Alzheimer Society Huron Perth,48,False
4043,Shepherd Psychotherapy - Lea Sutherland,shepherd psychotherapy lea sutherland,,Hanover Place,54,False
4044,Room for Growth Counselling Services,room for growth counselling services,,Wellkin,71,False
4046,Paramount Rehab Centre - Mental Health,paramount rehab centre mental health,,Parents For Children's Mental Health,69,False
4047,Vcare Physio & Rehab - Mental Health,vcare physio & rehab mental health,,Parents For Children's Mental Health,68,False
4048,Anxiety Care Centre,anxiety care centre,,Southwest Ontario Aboriginal Health Access Centre,65,False
4050,Oak and Sands Counselling Services,oak and sands counselling services,,Wellkin,71,False
4073,Weeneebayko Area Health Authority,weeneebayko area health authority,,Family Mental Health Support Network of Niagara,56,False
4084,Canadian Mental Health Association,canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
4086,Child and Youth Mental Health Services - Cornwall Community Hospital,child and youth mental health services cornwall community hospital,,Eden Community Homes,75,True
4087,Centre ON y va - Équipe psychosociale,centre on y va équipe psychosociale,,Huron Health System - Alexandra Marine and General Hospital,46,False
4088,Recovery Cornwall,recovery cornwall,,Recovery Canada,80,True
4097,Simcoe Addiction and Mental Health Inc,simcoe addiction and mental health inc,,CMHA Thames Valley Addiction and Mental Health Services,84,True
4102,Metamorphosis Centre for Change Ltd,metamorphosis centre for change ltd,,Parents For Children's Mental Health,56,False
4122,Canadian Mental Health Association Ontario Division (CMHA),canadian mental health association ontario division,,Canadian Mental Health Association. Simcoe County Branch,84,True
4123,Distress and Crisis Ontario,distress and crisis ontario,,Spinal Cord Injury Ontario,61,False
4124,Ontario Structured Psychotherapy Program,ontario structured psychotherapy program,,Southwest Ontario Aboriginal Health Access Centre,52,False
4129,FlexMD Allied Health,flexmd allied health,-,Canadian Mental Health Association Hastings Prince Edward,55,False
4177,Mental Health - Niagara Region,mental health niagara region,,Family Mental Health Support Network of Niagara,86,True
4188,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
4192,Nepean Rideau Osgoode Community Resource Centre,nepean rideau osgoode community resource centre,,Eden Community Homes,75,True
4219,CMHA York Region & South Simcoe: Newmarket Branch,cmha york region & south simcoe newmarket branch,,Canadian Mental Health Association. Simcoe County Branch,58,False
4222,Canadian Mental Health Association - Ontario Division - BounceBack - Reclaim Your Health,canadian mental health association ontario division bounceback reclaim your health,Canadian Mental Health Association,Here 24 Seven,31,False
4223,Cedar Centre - Adult Program,cedar centre adult program,-,Canadian Mental Health Association Hastings Prince Edward,52,False
4228,Canadian Mental Health Association (CMHA),canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
4230,Cedar Centre,cedar centre,,Southwest Ontario Aboriginal Health Access Centre,78,True
4232,Inn From The Cold,inn from the cold,,Hit The Ground Running,52,False
4235,Krasman Centre,krasman centre,,National Eating Disorder Information Centre,79,True
4294,Niagara Falls Memorial Medical Center Behavioral Health,niagara falls memorial medical center behavioral health,,Parents For Children's Mental Health,58,False
4318,Nipigon District Family Health Team,nipigon district family health team,,Brightshores Health System,59,False
4339,York Region CBT,york region cbt,-,Wellkin,43,False
4354,Mobile Crisis North Bay,mobile crisis north bay,,Life With A Baby,57,False
4358,North Bay Regional Health Centre,north bay regional health centre,,Southwest Ontario Aboriginal Health Access Centre,69,False
4361,Canadian Mental Health Association (CMHA) Ontario,canadian mental health association ontario,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",91,True
4363,Good2Talk,good2talk,,Huron Health System - Alexandra Marine and General Hospital,50,False
4364,Addiction Rehab Toronto,addiction rehab toronto,,CMHA Thames Valley Addiction and Mental Health Services,61,False
4365,Family Services Ottawa,family services ottawa,,"Keystone Child, Youth and Family Services",81,True
4366,First Nations Health Authority,first nations health authority,,Family Mental Health Support Network of Niagara,59,False
4371,Lakeridge Health,lakeridge health,,"Lakeridge Health, Durham Mental Health Services",100,True
4372,London Health Sciences Centre,london health sciences centre,,Southwest Ontario Aboriginal Health Access Centre,78,True
4374,Niagara Health System,niagara health system,,Brightshores Health System,80,True
4394,Front Door,front door,,Parents For Children's Mental Health,60,False
4402,Ontario Suicide Crisis Helpline,ontario suicide crisis helpline,,Wellkin,71,False
4411,"Health Sciences North / Horizon Santé-Nord, Mental Health and Addictions Program",health sciences north horizon santé nord mental health and addictions program,-,Canadian Mental Health Association Hastings Prince Edward,62,False
4423,Advance Therapy ABA Services,advance therapy aba services,-,Canadian Mental Health Association Hastings Prince Edward,48,False
4428,Crawford Therapy,crawford therapy,,CMHA Thames Valley Addiction and Mental Health Services,50,False
4434,"Ligne de crise pour enfants, jeunes et familles de l’Est de l’Ontario",ligne de crise pour enfants jeunes et familles de l est de l ontario,,Spinal Cord Injury Ontario,59,False
4438,1 appel 1 clic,1 appel 1 clic,,Huron Perth Healthcare Alliance,52,False
4439,One Stop Talk/Parlons maintenant,one stop talk parlons maintenant,,PLEO - Parents' Lifeline,57,False
4481,Oakville Counselling Clinic,oakville counselling clinic,,Wellkin,71,False
4482,Bayridge Counselling Centres,bayridge counselling centres,,Wellkin,71,False
4506,Dufferin Community Support Service,dufferin community support service,,Eden Community Homes,75,True
4520,ConnexOntario,connexontario,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",70,False
4535,YouthNet/RéseauAdo,youthnet réseauado,,Southwest Ontario Aboriginal Health Access Centre,55,False
4537,YoungWomynProject,youngwomynproject,,Alzheimer Society Huron Perth,47,False
4538,YouthLine,youthline,,"Keystone Child, Youth and Family Services",67,False
4540,NROCRC Counselling Services,nrocrc counselling services,,Wellkin,71,False
4541,Walk-In Counselling Clinic,walk in counselling clinic,,Wellkin,71,False
4542,Wabano,wabano,,Hanover Place,60,False
4543,ORCC (Ontario Rape Crisis Centre),orcc,,Parents For Children's Mental Health,75,True
4545,Family Services Ottawa,family services ottawa,,"Keystone Child, Youth and Family Services",81,True
4549,Canadian Mental Health Association Durham (CMHA Durham),canadian mental health association durham,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",92,True
4618,Parry Sound Friendship Centre,parry sound friendship centre,,Friendship Bench (The),81,True
4628,Simcoe Addiction and Mental Health Inc,simcoe addiction and mental health inc,,CMHA Thames Valley Addiction and Mental Health Services,84,True
4657,Renfrew County Child Wellness Hub - ConnectWell,renfrew county child wellness hub connectwell,,Indwell,73,True
4688,Canadian Mental Health Association,canadian mental health association,Lindsay St S,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge",100,True
4691,Telka-Smith,telka smith,,Huron Health System - Alexandra Marine and General Hospital,55,False
4693,Cmha - Court Forensic Services,cmha court forensic services,Simcoe St,Kinark Child and Family Services,57,False
4695,Kinark Child & Family Services,kinark child & family services,-,Wellkin,60,False
4699,Wraight Child And Youth Counselling,wraight child and youth counselling,-,Wellkin,77,True
4700,Michael Doris Counselling Services,michael doris counselling services,-,Wellkin,71,False
4704,"Canadian Mental Health Association Haliburton, Kawartha, Pine Ridge - Northumberland Office",canadian mental health association haliburton kawartha pine ridge northumberland office,Elgin St W,Northumberland Hills Hospital,68,False
4715,Durham Mental Health Services,durham mental health services,,"Lakeridge Health, Durham Mental Health Services",100,True
4716,Distress Centre Durham,distress centre durham,,Southwest Ontario Aboriginal Health Access Centre,62,False
4718,nan,nan,,National Eating Disorder Information Centre,80,True
4724,Sioux Lookout Meno Ya Win Health Centre - Satellite Office,sioux lookout meno ya win health centre satellite office,,Indwell,57,False
4729,Sioux Lookout Meno Ya Win Health Centre - Mental Health and Addictions Program (Satellite Office),sioux lookout meno ya win health centre mental health and addictions program,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",63,False
4733,Addictions & Mental Health Services,addictions & mental health services,,CMHA Thames Valley Addiction and Mental Health Services,91,True
4734,Children's Mental Health Services,children s mental health services,,CMHA Thames Valley Addiction and Mental Health Services,84,True
4735,Youth Habilitation Quinte Inc.,youth habilitation quinte inc,,"Ontario. Ministry of Labour, Immigration, Training and Skills Development",55,False
4743,Canadian Mental Health Association,canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
4745,Family Counselling Centre Niagara,family counselling centre niagara,,Wellkin,71,False
4746,Niagara Region Mental Health,niagara region mental health,,Family Mental Health Support Network of Niagara,86,True
4748,Niagara Regional Native Centre,niagara regional native centre,,Consumer/Survivor Initiative of Niagara,64,False
4749,Oak Centre,oak centre,,National Eating Disorder Information Centre,84,True
4758,"Ottawa Hospital, Department of Psychiatry",ottawa hospital department of psychiatry,-,Canadian Mental Health Association Hastings Prince Edward,45,False
4788,CMHA Grey Bruce,cmha grey bruce,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",80,True
4796,Canadian Mental Health Association,canadian mental health association,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",100,True
4801,United Way Elgin Middlesex,united way elgin middlesex,,Wellkin,57,False
4802,211 Ontario,211 ontario,,Spinal Cord Injury Ontario,84,True
4863,Algoma Family Services,algoma family services,,"Keystone Child, Youth and Family Services",84,True
4865,One Stop Talk,one stop talk,,Huron Health System - Alexandra Marine and General Hospital,60,False
4866,Youth Wellness Hub,youth wellness hub,,Wellkin,71,False
4867,CMHA — Iris Place (Wawa),cmha iris place,,Hanover Place,69,False
4869,CMHA — Beehive (Elliot Lake),cmha beehive,,CMHA Thames Valley Addiction and Mental Health Services,64,False
4870,The Counselling Centre of East Algoma (Elliot Lake),the counselling centre of east algoma,,Wellkin,71,False
4876,Reach Out,reach out,,Recovery Canada,62,False
4880,Good2Talk Helpline,good2talk helpline,,Wellkin,71,False
4885,LGBT Youthline Ontario,lgbt youthline ontario,,Southwest Ontario Aboriginal Health Access Centre,67,False
4887,Assaulted Women’s Helpline,assaulted women s helpline,,Wellkin,71,False
4897,Hastings and Prince Edward Counties Children's Mental Health Services,hastings and prince edward counties children s mental health services,,Parents For Children's Mental Health,81,True
4899,Youthab,youthab,,"Keystone Child, Youth and Family Services",86,True
4903,Peer Support Services of Southeast Ontario,peer support services of southeast ontario,,Southwest Ontario Aboriginal Health Access Centre,54,False
4909,CMHA Hastings Prince Edward,cmha hastings prince edward,,CMHA Thames Valley Addiction and Mental Health Services,54,False
4933,Belleville and Quinte West Community Health Centre,belleville and quinte west community health centre,,Eden Community Homes,75,True
4942,Belleville and Quinte West Community Health Centre: Trenton,belleville and quinte west community health centre trenton,,Eden Community Homes,75,True
4944,Community Counselling,community counselling,,Wellkin,77,True
4949,Rainy River District Ontario Health Team,rainy river district ontario health team,,Brightshores Health System,68,False
4950,The Insight Clinic,the insight clinic,,Canadian Mental Health Association. Simcoe County Branch,50,False
4954,Haldimand-Norfolk REACH,haldimand norfolk reach,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",53,False
4966,Canadian Mental Health Association Waterloo-Wellington-Dufferin,canadian mental health association waterloo wellington dufferin,,Wellkin,86,True
4970,"Canadian Mental Health Association, Niagara Branch (CMHA)",canadian mental health association niagara branch,,Canadian Mental Health Association. Simcoe County Branch,91,True
4971,Pathstone Mental Health (Pathstone),pathstone mental health,,Parents For Children's Mental Health,79,True
4972,Niagara Regional Native Center,niagara regional native center,,Consumer/Survivor Initiative of Niagara,67,False
4976,York Support Services Network,york support services network,,Family Mental Health Support Network of Niagara,68,False
4979,"Canadian Mental Health Association, York and South Simcoe",canadian mental health association york and south simcoe,,Canadian Mental Health Association. Simcoe County Branch,88,True
4982,Women's Support Network of York Region,women s support network of york region,,Family Mental Health Support Network of Niagara,66,False
4986,Canadian Mental Health Association Peel Dufferin,canadian mental health association peel dufferin,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",85,True
4991,Canadian Mental Health Association Peel Dufferin,canadian mental health association peel dufferin,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",85,True
5000,"Canadian Mental Health Association, Niagara Branch (CMHA)",canadian mental health association niagara branch,,Canadian Mental Health Association. Simcoe County Branch,91,True
5004,Crisis Outreach & Support Team (COAST),crisis outreach & support team,,Family Mental Health Support Network of Niagara,53,False
5009,Mental Health and Addiction Access Line,mental health and addiction access line,,"Canadian Mental Health Association Grey Bruce, Mental Health and Addiction Services",83,True
5015,Mental Health Services of Renfrew County,mental health services of renfrew county,,"Lakeridge Health, Durham Mental Health Services",72,True
5016,Phoenix Centre for Children and Families,phoenix centre for children and families,,"Keystone Child, Youth and Family Services",63,False
5017,Robbie Dean Family Counselling Centre,robbie dean family counselling centre,,Wellkin,71,False
5018,Petawawa Military Family Resource Centre,petawawa military family resource centre,,Family Mental Health Support Network of Niagara,53,False
5019,Algonquins of Pikwakanagan First Nation,algonquins of pikwakanagan first nation,,Gamblers Anonymous,47,False
5022,North Renfrew Family Services,north renfrew family services,,"Keystone Child, Youth and Family Services",79,True
5024,Pleo – Parents’ Lifelines of Eastern Ontario,pleo parents lifelines of eastern ontario,,PLEO - Parents' Lifeline,100,True
5025,E-Walk-In Counselling Clinic,e walk in counselling clinic,,Wellkin,71,False
5027,Renfrew County Youth Wellness Hub,renfrew county youth wellness hub,,Wellkin,71,False
5055,Good2Talk,good2talk,,Huron Health System - Alexandra Marine and General Hospital,50,False
5188,Distress Centre,distress centre,,Southwest Ontario Aboriginal Health Access Centre,80,True
5191,Gerstein Crisis Centre,gerstein crisis centre,,Southwest Ontario Aboriginal Health Access Centre,63,False
5194,Canadian Mental Health Association (CMHA) Toronto Branch,canadian mental health association toronto branch,,Canadian Mental Health Association. Simcoe County Branch,91,True
5195,Canadian Mental Health Association (CMHA) York Region Branch,canadian mental health association york region branch,,Canadian Mental Health Association. Simcoe County Branch,87,True
5205,Road Ahead Mobile Wellness Clinic,road ahead mobile wellness clinic,,Wellkin,71,False
5209,New Path Youth and Family Services,new path youth and family services,King St,Peterborough Family Health Team,52,False
5221,Align Health Centre,align health centre,Leslie St,Cedar Centre,75,True
5226,JF Fitness and Therapy,jf fitness and therapy,James St,"Canadian Mental Health Association, Muskoka-Parry Sound",39,False
5232,Muskoka-Parry Sound Community Mental Health Service,muskoka parry sound community mental health service,-,Canadian Mental Health Association Hastings Prince Edward,53,False
5241,Canadian Mental Health Association,canadian mental health association,Bay St,Fred Victor,36,False
5276,All Nations Health Partners Ontario Health Team,all nations health partners ontario health team,,Brightshores Health System,68,False
